
TEST CASES
case	A	B	C	D	pairings
1	A1	B1	C1	D1	6
2	A1	B2	C2	D2	6
3	A1	B3	C3	D3	6
4	A2	B1	C3	D2	6
5	A2	B2	C1	D1	5
6	A2	B3	C2	D4	6
7	A3	B1	C2	D3	6
8	A3	B2	C3	D4	6
9	A3	B3	C1	D1	5
10	A4	B4	C2	D1	6
11	A4	B5	C1	D2	6
12	A4	B6	C1	D3	5
13	A4	B7	C3	D4	5
14	A5	B4	C1	D4	6
15	A5	B5	C3	D1	6
16	A5	B6	C2	D5	6
17	A6	B4	C3	D5	6
18	A6	B5	C2	D6	6
19	A6	B6	C1	D7	5
20	A7	B6	C3	D6	6
21	A7	B7	C1	D5	6
22	A7	B8	C2	D7	6
23	A8	B7	C1	D6	5
24	A8	B8	C3	D1	5
25	A8	B9	C2	D7	5
26	A9	B7	C3	D7	5
27	A9	B8	C1	D2	5
28	A9	B9	C2	D1	4
29	A10	B7	C2	D2	5
30	A10	B9	C1	D3	5
31	A10	B10	C3	D4	5
32	A11	B9	C3	D2	5
33	A11	B10	C2	D3	5
34	A11	B1	C1	D4	4
35	A12	B10	C1	D5	5
36	A12	B1	C2	D6	4
37	A12	B2	C3	D3	4
38	A13	B1	C3	D5	4
39	A13	B2	C1	D6	4
40	A13	B3	C2	D7	4
41	A14	B2	C2	D5	4
42	A14	B3	C3	D6	4
43	A14	B4	C1	D7	4
44	A15	B3	C1	D2	4
45	A15	B4	C2	D3	4
46	A15	B5	C3	D4	4
47	A16	B4	C3	D2	4
48	A16	B5	C1	D7	4
49	A16	B6	C2	D4	4
50	A17	B5	C2	D3	4
51	A17	B6	C3	D1	4
52	A17	B7	C1	D7	3
53	A18	B7	C2	D1	4
54	A18	B8	C1	D3	4
55	A18	B9	C3	D4	4
56	A19	B8	C2	D4	4
57	A19	B9	C1	D5	4
58	A19	B10	C3	D7	4
59	A20	B8	C3	D5	4
60	A20	B10	C2	D2	4
61	A20	B1	C1	D7	4
62	A1	B10	~C1	D6	3
63	A1	B4	~C2	D4	2
64	A1	B5	~C3	D5	3
65	A2	B4	~C3	D6	3
66	A2	B6	~C1	D3	2
67	A2	B7	~C2	D3	2
68	A3	B6	~C2	D2	3
69	A3	B8	~C1	D6	3
70	A3	B9	~C3	D5	2
71	A4	B2	~C3	D7	3
72	A4	B3	~C2	D5	3
73	A5	B9	~C2	D6	3
74	A5	B10	~C3	D3	2
75	A5	B1	~C1	D2	2
76	A6	B10	~C1	D1	3
77	A6	B1	~C2	D4	2
78	A6	B2	~C3	D2	2
79	A7	B1	~C3	D1	2
80	A7	B2	~C1	D4	2
81	A7	B3	~C2	D3	2
82	A8	B2	~C2	D3	2
83	A8	B3	~C1	D4	2
84	A8	B4	~C3	D5	2
85	A9	B3	~C3	D5	2
86	A9	B4	~C1	D3	2
87	A9	B5	~C2	D6	2
88	A10	B5	~C1	D1	2
89	A10	B6	~C3	D5	2
90	A10	B8	~C2	D6	2
91	A11	B7	~C3	D1	2
92	A11	B8	~C1	D5	2
93	A11	B2	~C2	D6	2
94	A12	B8	~C3	D1	2
95	A12	B9	~C1	D7	2
96	A12	B3	~C2	D2	2
97	A13	B10	~C2	D1	2
98	A13	B4	~C1	D2	2
99	A13	B5	~C3	D3	2
100	A14	B1	~C3	D3	2
101	A14	B5	~C1	D2	2
102	A14	B6	~C2	D1	2
